data-object-id,data-original-title,list_entry_id,film_slug,URL,tmdb_id,imdb_id,title,year
filmListEntry:3080978717,The Endless (2017) ,filmListEntry:3080978717,the-endless,https://letterboxd.com/film/the-endless/,430231,tt3986820,The Endless,
filmListEntry:3081052543,The Evil Dead (1981) ,filmListEntry:3081052543,the-evil-dead,https://letterboxd.com/film/the-evil-dead/,764,tt0083907,The Evil Dead,
filmListEntry:3081052544,Evil Dead II (1987) ,filmListEntry:3081052544,evil-dead-ii,https://letterboxd.com/film/evil-dead-ii/,765,tt0092991,Evil Dead II,
filmListEntry:3081052545,You're Next (2011) ,filmListEntry:3081052545,youre-next,https://letterboxd.com/film/youre-next/,83899,tt1853739,You're Next,
filmListEntry:3081052546,Dawn of the Dead (2004) ,filmListEntry:3081052546,dawn-of-the-dead-2004,https://letterboxd.com/film/dawn-of-the-dead-2004/,924,tt0363547,Dawn of the Dead,
filmListEntry:3081052547,Saw (2004) ,filmListEntry:3081052547,saw,https://letterboxd.com/film/saw/,176,tt0387564,Saw,
filmListEntry:3081052548,Drag Me to Hell (2009) ,filmListEntry:3081052548,drag-me-to-hell,https://letterboxd.com/film/drag-me-to-hell/,16871,tt1127180,Drag Me to Hell,
filmListEntry:3081052549,The Fog (1980) ,filmListEntry:3081052549,the-fog,https://letterboxd.com/film/the-fog/,790,tt0080749,The Fog,
filmListEntry:3081052550,Children of the Corn (1984) ,filmListEntry:3081052550,children-of-the-corn,https://letterboxd.com/film/children-of-the-corn/,10823,tt0087050,Children of the Corn,
filmListEntry:3081052551,House (1977) ,filmListEntry:3081052551,house,https://letterboxd.com/film/house/,25623,tt0076162,House,
filmListEntry:3081052552,Rare Exports: A Christmas Tale (2010) ,filmListEntry:3081052552,rare-exports-a-christmas-tale,https://letterboxd.com/film/rare-exports-a-christmas-tale/,48395,tt1401143,Rare Exports: A Christmas Tale,
filmListEntry:3081056528,All Cheerleaders Die (2013) ,filmListEntry:3081056528,all-cheerleaders-die,https://letterboxd.com/film/all-cheerleaders-die/,210908,tt2527186,All Cheerleaders Die,
filmListEntry:3082075675,Slaughterbots (2017) ,filmListEntry:3082075675,slaughterbots,https://letterboxd.com/film/slaughterbots/,488589,tt7659054,Slaughterbots,
filmListEntry:3082075676,Skyline (2010) ,filmListEntry:3082075676,skyline,https://letterboxd.com/film/skyline/,42684,tt1564585,Skyline,
filmListEntry:3082075677,Jennifer's Body (2009) ,filmListEntry:3082075677,jennifers-body,https://letterboxd.com/film/jennifers-body/,19994,tt1131734,Jennifer's Body,
filmListEntry:3085548715,Hush (2016) ,filmListEntry:3085548715,hush-2016,https://letterboxd.com/film/hush-2016/,376570,tt5022702,Hush,
filmListEntry:3086239503,[REC]² (2009) ,filmListEntry:3086239503,rec-2,https://letterboxd.com/film/rec-2/,10664,tt1245112,[REC]²,
filmListEntry:3093417991,Slither (2006) ,filmListEntry:3093417991,slither,https://letterboxd.com/film/slither/,9035,tt0439815,Slither,
filmListEntry:3105348486,The Wicker Man (2006) ,filmListEntry:3105348486,the-wicker-man-2006,https://letterboxd.com/film/the-wicker-man-2006/,9708,tt0450345,The Wicker Man,
filmListEntry:3126072566,Blood Beach (1980) ,filmListEntry:3126072566,blood-beach,https://letterboxd.com/film/blood-beach/,37843,tt0082083,Blood Beach,
filmListEntry:3126072567,The Ring (2002) ,filmListEntry:3126072567,the-ring-2002,https://letterboxd.com/film/the-ring-2002/,565,tt0298130,The Ring,
filmListEntry:3126072568,Fear Street: 1994 (2021) ,filmListEntry:3126072568,fear-street-1994,https://letterboxd.com/film/fear-street-1994/,591273,tt6566576,Fear Street: 1994,
filmListEntry:3141863887,The Slumber Party Massacre (1982) ,filmListEntry:3141863887,the-slumber-party-massacre,https://letterboxd.com/film/the-slumber-party-massacre/,27475,tt0084695,The Slumber Party Massacre,
